sid,castaway,season,season_name,age,day,order,winner,result,original_tribe,immunity_idols_won,jury,ftc,appearance,returning
1,Sonja,1,Borneo,63,3,1,0,1st voted out,Tagi,0,0,0,1,0
2,B.B.,1,Borneo,64,6,2,0,2nd voted out,Pagong,0,0,0,1,0
3,Stacey,1,Borneo,27,9,3,0,3rd voted out,Tagi,0,0,0,1,0
4,Ramona,1,Borneo,29,12,4,0,4th voted out,Pagong,0,0,0,1,0
5,Dirk,1,Borneo,23,15,5,0,5th voted out,Tagi,0,0,0,1,0
6,Joel,1,Borneo,27,18,6,0,6th voted out,Pagong,0,0,0,1,0
7,Gretchen,1,Borneo,38,21,7,0,7th voted out,Pagong,0,0,0,1,0
8,Greg,1,Borneo,24,24,8,0,8th voted out,Pagong,1,1,0,1,0
9,Jenna,1,Borneo,22,27,9,0,9th voted out,Pagong,0,1,0,1,0
10,Gervase,1,Borneo,30,30,10,0,10th voted out,Pagong,1,1,0,1,0
11,Colleen,1,Borneo,23,33,11,0,11th voted out,Pagong,0,1,0,1,0
12,Sean,1,Borneo,30,36,12,0,12th voted out,Tagi,0,1,0,1,0
13,Susan,1,Borneo,38,37,13,0,13th voted out,Tagi,0,1,0,1,0
14,Rudy,1,Borneo,72,38,14,0,14th voted out,Tagi,1,1,0,1,0
15,Kelly,1,Borneo,22,39,15,0,Runner-up,Tagi,4,0,1,1,0
16,Richard,1,Borneo,39,39,16,1,Sole Survivor,Tagi,1,0,1,1,0
17,Debb,2,The Australian Outback,45,3,1,0,1st voted out,Kucha,0,0,0,1,0
18,Kel,2,The Australian Outback,32,6,2,0,2nd voted out,Ogakor,0,0,0,1,0
19,Maralyn,2,The Australian Outback,51,9,3,0,3rd voted out,Ogakor,0,0,0,1,0
20,Mitchell,2,The Australian Outback,23,12,4,0,4th voted out,Ogakor,0,0,0,1,0
21,Kimmi,2,The Australian Outback,27,15,5,0,5th voted out,Kucha,0,0,0,1,0
22,Michael,2,The Australian Outback,38,17,6,0,Medically evacuated,Kucha,0,0,0,1,0
23,Jeff,2,The Australian Outback,34,21,7,0,6th voted out,Kucha,0,0,0,1,0
24,Alicia,2,The Australian Outback,32,24,8,0,7th voted out,Kucha,0,1,0,1,0
25,Jerri,2,The Australian Outback,30,27,9,0,8th voted out,Ogakor,0,1,0,1,0
26,Nick,2,The Australian Outback,23,30,10,0,9th voted out,Kucha,1,1,0,1,0
27,Amber,2,The Australian Outback,22,33,11,0,10th voted out,Ogakor,0,1,0,1,0
28,Rodger,2,The Australian Outback,53,36,12,0,11th voted out,Kucha,0,1,0,1,0
29,Elisabeth,2,The Australian Outback,23,39,13,0,12th voted out,Kucha,0,1,0,1,0
30,Keith,2,The Australian Outback,40,41,14,0,13th voted out,Ogakor,2,1,0,1,0
31,Colby,2,The Australian Outback,26,39,15,0,Runner-up,Ogakor,5,0,1,1,0
32,Tina,2,The Australian Outback,40,39,16,1,Sole Survivor,Ogakor,0,0,1,1,0
33,Diane,3,Africa,42,3,1,0,1st voted out,Boran,0,0,0,1,0
34,Jessie,3,Africa,26,6,2,0,2nd voted out,Boran,0,0,0,1,0
