season,castaway,winner,prob
1,Kelly,0,90.5
1,Richard,1,9.5
2,Colby,0,82.2
2,Tina,1,17.8
3,Kim J.,0,5
3,Ethan,1,95
4,Neleh,0,39.6
4,Vecepia,1,60.4
5,Clay,0,35.2
5,Brian,1,64.8
6,Matthew,0,5
6,Jenna,1,95
7,Lillian,0,26.6
7,Sandra,1,73.4
8,Rob M.,0,61.5
8,Amber,1,38.5
9,Twila,0,12.8
9,Chris,1,87.2
10,Katie,0,67.9
10,Tom,1,32.1
11,Stephenie,0,80
11,Danni,1,20
12,Danielle,0,44
12,Aras,1,56
13,Becky,0,25.2
13,Ozzy,0,74.7
13,Yul,1,0.1
14,Dreamz,0,86.1
14,Cassandra,0,2
14,Earl,1,11.9
15,Amanda,0,59.8
15,Courtney,0,10.2
15,Todd,1,30
16,Amanda,0,86.9
16,Parvati,1,13.1
17,Sugar,0,91.2
17,Susie,0,0.2
17,Bob,1,8.6
18,Stephen,0,22.2
18,J.T.,1,77.8
19,Mick,0,32.3
19,Russell H.,0,0.3
19,Natalie,1,67.4
20,Russell,0,3.6
20,Parvati,0,86.4
20,Sandra,1,10
21,Sash,0,0.1
21,Chase,0,54.1
21,Fabio,1,45.8
22,Natalie,0,63.1
22,Phillip,0,0.9
22,Rob,1,36
23,Albert,0,12.3
23,Coach,0,38.8
23,Sophie,1,48.9
24,Chelsea,0,38.4
24,Sabrina,0,18.2
24,Kim,1,43.4
25,Lisa,0,9
25,Michael,0,8.5
25,Denise,1,82.5
26,Sherri,0,38
26,Dawn,0,1.6
26,Cochran,1,60.4
27,Gervase,0,10.1
27,Monica,0,18.5
27,Tyson,1,71.4
28,Woo,0,93.9
28,Tony,1,6.1
29,Missy,0,2.1
29,Jaclyn,0,91.3
29,Natalie,1,6.6
30,Will,0,48.7
30,Carolyn,0,5.3
30,Mike,1,46
31,Spencer,0,97
31,Tasha,0,3
31,Jeremy,1,0
32,Tai,0,2
32,Aubry,0,30.9
32,Michele,1,67.1
33,Hannah,0,41.5
33,Ken,0,44.3
33,Adam,1,14.2
34,Troyzan,0,26.8
34,Brad,0,44.2
34,Sarah,1,29
35,Ryan,0,61.3
35,Chrissy,0,38.2
35,Ben,1,0.5
36,Laurel,0,53.2
36,Domenick,0,25.8
36,Wendell,1,21
37,Angelina,0,44.7
37,Mike,0,1.1
37,Nick,1,54.2
38,Julie,0,4.1
38,Gavin,0,77.3
38,Chris,1,18.6
39,Noura,0,18.7
39,Dean,0,44.8
39,Tommy,1,36.5
40,Michele,0,73.5
40,Natalie,0,18.8
40,Tony,1,7.7
